number,hex,r,g,b,filename
1,EE2B2B,238,43,43,1.png
2,EE652B,238,101,43,2.png
3,EEA02B,238,160,43,3.png
4,EEDA2B,238,218,43,4.png
5,C7EE2B,199,238,43,5.png
6,8CEE2B,140,238,43,6.png
7,52EE2B,82,238,43,7.png
8,2BEE3E,43,238,62,8.png
9,2BEE79,43,238,121,9.png
10,2BEEB3,43,238,179,10.png
11,2BEEEE,43,238,238,11.png
12,2BB3EE,43,179,238,12.png
13,2B79EE,43,121,238,13.png
14,2B3EEE,43,62,238,14.png
15,522BEE,82,43,238,15.png
16,8C2BEE,140,43,238,16.png
17,C72BEE,199,43,238,17.png
18,EE2BDA,238,43,218,18.png
19,EE2BA0,238,43,160,19.png
20,EE2B65,238,43,101,20.png
